"","Municipio","Infectados","Recuperados","Obitos","Total","Dia_Juliano"
"567","Rondonopolis",30,6,2,38,119
"568","Sao Jose dos Quatro Marcos",3,3,0,6,119
"569","Sinop",4,13,2,19,119
"570","Tangara da Serra",0,7,0,7,119
"571","Uniao do Sul",0,1,0,1,119
"572","Varzea Grande",3,9,0,12,119
"573","Vila Bela da Santissima Trindade",1,0,0,1,119
"574","Alta Floresta",0,1,0,1,120
"575","Aripuana",0,1,1,2,120
"576","Barra do Garcas",2,0,1,3,120
"577","Caceres",4,2,1,7,120
"578","Campo Novo do Parecis",0,1,0,1,120
"579","Canarana",0,1,0,1,120
"580","Confresa",0,3,0,3,120
"581","Conquista do Oeste",1,0,0,1,120
"582","Cuiaba",36,92,1,129,120
"583","Ipiranga do Norte",1,1,0,2,120
"584","Jaciara",2,4,0,6,120
"585","Jangada",2,0,0,2,120
"586","Lambari do Oeste",0,1,0,1,120
"587","Lucas do Rio Verde",2,2,1,5,120
"588","Mirassol do Oeste",0,7,1,8,120
"589","Nova Monte Verde",0,1,0,1,120
"590","Nova Mutum",1,1,0,2,120
"591","Pocone",0,2,0,2,120
"592","Pontal do Araguaia",1,0,0,1,120
"593","Pontes e Lacerda",1,0,0,1,120
"594","Primavera do Leste",3,5,0,8,120
"595","Querencia",1,0,0,1,120
"596","Rio Branco",1,1,0,2,120
"597","Rondonopolis",40,6,2,48,120
"598","Sao Jose dos Quatro Marcos",0,6,0,6,120
"599","Sinop",1,16,2,19,120
"600","Tangara da Serra",0,8,0,8,120
"601","Uniao do Sul",0,1,0,1,120
"602","Varzea Grande",3,10,0,13,120
"603","Vila Bela da Santissima Trindade",1,0,0,1,120
"604","Alta Floresta",0,1,0,1,121
"605","Aripuana",0,1,1,2,121
"606","Barra do Garcas",2,0,1,3,121
"607","Caceres",5,2,1,8,121
"608","Campo Novo do Parecis",0,1,0,1,121
"609","Canarana",0,1,0,1,121
"610","Confresa",0,3,0,3,121
"611","Conquista do Oeste",1,0,0,1,121
"612","Cuiaba",36,97,1,134,121
"613","Ipiranga do Norte",0,2,0,2,121
"614","Jaciara",2,4,0,6,121
"615","Jangada",2,0,0,2,121
"616","Lambari do Oeste",0,1,0,1,121
"617","Lucas do Rio Verde",2,2,1,5,121
"618","Mirassol do Oeste",0,7,1,8,121
"619","Nova Monte Verde",0,1,0,1,121
"620","Nova Mutum",1,1,0,2,121
"621","Peixoto de Azevedo",1,0,0,1,121
"622","Pocone",0,2,0,2,121
"623","Pontal do Araguaia",1,0,0,1,121
"624","Pontes e Lacerda",1,0,0,1,121
"625","Primavera do Leste",3,5,0,8,121
"626","Querencia",2,0,0,2,121
"627","Rio Branco",1,1,0,2,121
"628","Rondonopolis",40,6,2,48,121
"629","Sao Jose dos Quatro Marcos",0,6,0,6,121
"630","Sinop",1,17,2,20,121
"631","Tangara da Serra",0,9,0,9,121
"632","Uniao do Sul",0,1,0,1,121
